content,date,location_name,user_name
"If you don't want to spend a lot of hours wandering,you should visit their site&mark all the  you want to see and the  that they are located!Take a free map at the entrance and voilà!","May 14, 2015",Metropolitan Museum of Art,Iro Prodromou
"One of our favorite NY things to do is have  after work on the roof of the Metropolitan, and take in the best  of Central . Open through late fall. Closed on Mondays.","March 4, 2013",Metropolitan Museum of Art,The Corcoran Group
You probably need two days (or lots of dedication and an early start) to see the Met in its entirety. Go in and grab a map to make your game plan ahead of time if you can. I loved the !,"February 21, 2015",Metropolitan Museum of Art,Stacy Shannon
"The best place to gawk at priceless  has a collection that is seemingly endless, spanning creepy  tombs to the shimmering Impressionist  to an unparalleled  collection. ","October 31, 2011",Metropolitan Museum of Art,Time Out New York
If I had to pick one  to visit in NYC it would be THE MET. Keep in mind that you probably won't be able to see everything in one day. The entrance price is suggested. 👌🏻,"October 11, 2016",Metropolitan Museum of Art,Vanessa Borges
"The new David H. Koch  is now open, and includes ""completely new , paving, and facade lighting, along with allées and bosques of trees, and seating areas for visitors. ","September 10, 2014",Metropolitan Museum of Art,Gothamist
This place has a fantastic environment.  and welcoming to all yet  and fun. The collection of renaissance  is unbelievable. Check that out if you don't know where else to go.,"November 8, 2016",Metropolitan Museum of Art,Graeme Mills
"I'm a sucker for , and the Met is in the top tier of  musems around the world. A gold standard in the world of . There are not enough superlatives to describe how incredible it is","August 21, 2016",Metropolitan Museum of Art,May ♍
This maybe my personal favorite - for as long as I can remember. In fact I used to ask to come here so often dad thought it most practical to become a member. A must visit as often as possible,"September 7, 2015",Metropolitan Museum of Art,Nikki Beauchamp
"3/4/13: The 's Islamic wing is open again, after 8 years of expansion and renovation. (Trying to see all [fifteen ] in one day will wreck you; come back repeatedly.) ","February 26, 2013",Metropolitan Museum of Art,The New Yorker
"Tucked away in a back wing of the Met, the Astor Chinese  offers a cultured respite from the city. With its imperfectly beautiful rock and shrub formations, it may be just the  you need. ","August 3, 2016",Metropolitan Museum of Art,Guest of a Guest
"In addition to a number of recognizable , you get to see a huge collection of various  as well as timed-exhibits. All included in ticket. And a beautiful  during the season!","December 19, 2014",Metropolitan Museum of Art,Harumi U
"""meet me at the met."": what better place to have a  catchup with someone? favorite rooms: chinese ; temple of dendur; japanese reading room (which has a high  looking into the temple)","March 28, 2012",Metropolitan Museum of Art,naveen
